date,video_id,object_id,behavior,frame_number,timestamp,hour
2019_11_05,000002,0,investigating,0,0.0,0.0
2019_11_05,000002,0,investigating,1,0.03333333333333333,0.0
2019_11_05,000002,0,investigating,2,0.06666666666666667,0.0
2019_11_05,000002,0,investigating,3,0.1,0.0
2019_11_05,000002,0,investigating,4,0.13333333333333333,0.0
2019_11_05,000002,0,investigating,5,0.16666666666666666,0.0
2019_11_05,000002,0,investigating,6,0.2,0.0
2019_11_05,000002,0,investigating,7,0.23333333333333334,0.0
2019_11_05,000002,0,nose-to-nose,8,0.26666666666666666,0.0
2019_11_05,000002,0,nose-to-nose,9,0.3,0.0
2019_11_05,000002,0,nose-to-nose,10,0.3333333333333333,0.0
2019_11_05,000002,0,nose-to-nose,11,0.36666666666666664,0.0
2019_11_05,000002,0,walk,12,0.4,0.0
2019_11_05,000002,0,walk,13,0.43333333333333335,0.0
2019_11_05,000002,0,walk,14,0.4666666666666667,0.0
2019_11_05,000002,0,walk,15,0.5,0.0
2019_11_05,000002,0,walk,16,0.5333333333333333,0.0
2019_11_05,000002,0,walk,17,0.5666666666666667,0.0
2019_11_05,000002,0,walk,18,0.6,0.0
2019_11_05,000002,0,investigating,19,0.6333333333333333,0.0
2019_11_05,000002,0,walk,20,0.6666666666666666,0.0
2019_11_05,000002,0,walk,21,0.7,0.0
2019_11_05,000002,0,investigating,22,0.7333333333333333,0.0
2019_11_05,000002,0,investigating,23,0.7666666666666667,0.0
2019_11_05,000002,0,investigating,24,0.8,0.0
2019_11_05,000002,0,drink,25,0.8333333333333334,0.0
2019_11_05,000002,0,drink,29,0.9666666666666667,0.0
2019_11_05,000002,0,drink,30,1.0,0.0
2019_11_05,000002,0,drink,31,1.0333333333333334,0.0
2019_11_05,000002,0,drink,32,1.0666666666666667,0.0
2019_11_05,000002,0,drink,37,1.2333333333333334,0.0
2019_11_05,000002,0,drink,38,1.2666666666666666,0.0
2019_11_05,000002,0,drink,39,1.3,0.0
2019_11_05,000002,0,drink,41,1.3666666666666667,0.0
2019_11_05,000002,0,drink,44,1.4666666666666666,0.0
2019_11_05,000002,0,drink,47,1.5666666666666667,0.0
2019_11_05,000002,0,drink,48,1.6,0.0
2019_11_05,000002,0,standing,49,1.6333333333333333,0.0
2019_11_05,000002,0,standing,50,1.6666666666666667,0.0
2019_11_05,000002,0,standing,51,1.7,0.0
2019_11_05,000002,0,standing,52,1.7333333333333334,0.0
2019_11_05,000002,0,standing,53,1.7666666666666666,0.0
2019_11_05,000002,0,standing,54,1.8,0.0
2019_11_05,000002,0,standing,55,1.8333333333333333,0.0
2019_11_05,000002,0,walk,56,1.8666666666666667,0.0
2019_11_05,000002,0,walk,57,1.9,0.0
2019_11_05,000002,0,walk,58,1.9333333333333333,0.0
2019_11_05,000002,0,walk,59,1.9666666666666666,0.0
2019_11_05,000002,0,walk,60,2.0,0.0
2019_11_05,000002,0,walk,61,2.033333333333333,0.0
2019_11_05,000002,0,run,62,2.066666666666667,0.0
2019_11_05,000002,0,run,63,2.1,0.0
2019_11_05,000002,0,run,64,2.1333333333333333,0.0
2019_11_05,000002,0,run,65,2.1666666666666665,0.0
2019_11_05,000002,0,walk,66,2.2,0.0
2019_11_05,000002,0,walk,67,2.2333333333333334,0.0
2019_11_05,000002,0,run,68,2.2666666666666666,0.0
2019_11_05,000002,0,run,69,2.3,0.0
2019_11_05,000002,0,run,70,2.3333333333333335,0.0
2019_11_05,000002,0,run,71,2.3666666666666667,0.0
2019_11_05,000002,0,run,72,2.4,0.0
2019_11_05,000002,0,nose-poke-elsewhere,73,2.433333333333333,0.0
2019_11_05,000002,0,nose-poke-elsewhere,74,2.466666666666667,0.0
2019_11_05,000002,0,nose-poke-elsewhere,75,2.5,0.0
2019_11_05,000002,0,nose-poke-elsewhere,76,2.533333333333333,0.0
2019_11_05,000002,0,standing,77,2.566666666666667,0.0
2019_11_05,000002,0,standing,78,2.6,0.0
2019_11_05,000002,0,standing,79,2.6333333333333333,0.0
2019_11_05,000002,0,standing,80,2.6666666666666665,0.0
